,feature,mean_abs_shap,std_abs_shap
36,household_deposits_roc5,791.5121758199838,428.23612570165915
35,household_deposits_diff5,476.42035655728904,624.0030361183992
29,household_deposits_diff2,31.235408012062944,27.503773884855658
72,household_deposits_std7,30.401148925419832,37.56786515884854
224,card_credit_std5,29.045745601290353,63.432500352336184
834,cpi_housing_household_roc10,26.633906291429437,32.777365563591445
962,cpi_yy_lag12,24.702365394016198,27.254989316394518
1203,production_based_gdp_yy_diff7,22.57315985152254,29.73178112956314
1167,production_based_gdp_qq_ma10,21.831621417804598,31.241446950686225
1159,production_based_gdp_qq_ma8,21.5742904693098,22.48669284868041
68,household_deposits_std6,20.798817693227413,40.37027530792542
380,google_home_loan_rate_search_std7,20.15579346961927,91.82935835510328
42,household_deposits_roc8,18.7521647274544,33.54197773870046
1202,production_based_gdp_yy_roc6,18.001550766824536,33.27808585267009
38,household_deposits_roc6,17.042889214000223,16.795372876633976
1201,production_based_gdp_yy_diff6,16.046342404717873,24.119527337004243
565,labour_force_participation_rate_lag3,14.046353758043283,27.059456804924203
1156,production_based_gdp_qq_std7,12.50079570725263,18.04819160913444
638,labour_force_participation_rate_max11,11.283198528125224,25.58290602451061
338,google_home_loan_rate_search_lag4,11.235555493170121,13.637988391255806
780,cpi_std7,10.200148427668141,18.935981265419723
578,labour_force_participation_rate_roc2,9.932338748679994,11.519114034867059
1151,production_based_gdp_qq_ma6,9.867842150018518,17.95282783388462
31,household_deposits_diff3,9.829549204921301,19.954506691031003
99,card_consumables_lag5,9.565233138388262,14.725289489610276
372,google_home_loan_rate_search_std5,9.301878134582921,11.393078601173753
1143,production_based_gdp_qq_ma4,8.122547131337715,18.737422069662838
564,labour_force_participation_rate_lag2,7.835808639242954,14.804583941689948
92,household_deposits_std12,7.829087172218146,10.459687024584797
236,card_credit_std8,7.7626084447628125,29.590813758116408
636,labour_force_participation_rate_std11,7.75163771282777,13.765289318764124
716,labour_cost_index_std11,7.591463057744059,10.750937794361086
33,household_deposits_diff4,7.361420946411468,15.754518437873513
720,labour_cost_index_std12,7.30861697201927,9.469257702957954
392,google_home_loan_rate_search_std10,7.2710646357214195,13.566588768452847
1226,production_based_gdp_yy_max4,6.92566613599693,35.87231663785411
580,labour_force_participation_rate_roc3,6.71916545053903,8.204310266636734
498,employed_labour_force_roc2,6.515492948271244,8.196993494812702
1207,production_based_gdp_yy_diff9,6.439780861954194,11.98354602250699
584,labour_force_participation_rate_roc5,6.251870882997644,8.184209139816792
736,cpi_roc1,6.1000079402815865,8.807926118766455
1116,production_based_gdp_qq_lag6,6.032315340921181,9.968421015465307
177,card_credit_lag3,6.012894172154045,18.627914157084305
240,card_credit_std9,5.812247167139564,32.212199509821666
132,card_consumables_std2,5.747241223921557,14.885364347935226
1006,cpi_yy_max6,5.708536132695833,12.758377612283317
1199,production_based_gdp_yy_diff5,5.655417419601759,15.700101817842407
592,labour_force_participation_rate_roc9,5.51221965661667,10.52709138482935
880,cpi_housing_household_std12,5.477307653499814,9.826397983093894
496,employed_labour_force_roc1,5.358283041076792,9.327219354658267
49,household_deposits_diff12,5.277908894605397,8.793907553704509
1175,production_based_gdp_qq_ma12,5.109804558698508,8.556554645566024
1096,production_based_gdp_std9,5.065920879844974,29.988879873715874
675,labour_cost_index_diff11,4.956227556268455,10.715819158921763
670,labour_cost_index_roc8,4.672220497883445,18.25035031395833
1092,production_based_gdp_std8,4.5842987503077355,23.83219904274714
350,google_home_loan_rate_search_diff4,4.582274434825728,5.5594894527666945
1171,production_based_gdp_qq_ma11,4.55005496923726,10.65731734856923
1163,production_based_gdp_qq_ma9,4.5252762154525685,5.120034869939672
712,labour_cost_index_std10,4.488102726225759,12.62393639114629
1056,production_based_gdp_roc7,4.476870128644892,8.982808526877358
387,google_home_loan_rate_search_ma9,4.46561019591115,10.750277138708919
598,labour_force_participation_rate_roc12,4.406543182413454,13.191233028916137
1205,production_based_gdp_yy_diff8,4.340546891674367,7.791606726738287
1248,production_based_gdp_yy_std10,4.299717210981597,9.247402704123635
1240,production_based_gdp_yy_std8,4.161501304257225,8.46758518600512
1136,production_based_gdp_qq_std2,3.976020805463938,5.4137375510616605
351,google_home_loan_rate_search_diff5,3.9740106806330533,5.670231332053743
64,household_deposits_std5,3.842536530200157,9.871473348941244
1129,production_based_gdp_qq_diff7,3.8361181182828075,2.7971388386328173
1088,production_based_gdp_std7,3.8139187330243876,10.217863676638675
998,cpi_yy_max4,3.7798048192283935,11.859904251229027
76,household_deposits_std8,3.7417209871915094,19.3240586962852
999,cpi_yy_ma5,3.722443529686329,9.033607149961673
1209,production_based_gdp_yy_diff10,3.7084727680382095,23.622414892957305
388,google_home_loan_rate_search_std9,3.6980418697725232,20.617600239100014
1211,production_based_gdp_yy_diff11,3.6872514277214377,26.453031158859332
612,labour_force_participation_rate_std5,3.657987658108182,9.494549877438567
632,labour_force_participation_rate_std10,3.6034652494260726,9.303506460516974
278,household_loans_roc6,3.5866779530712076,12.170046867884444
97,card_consumables_lag3,3.579562049782658,7.652449709278579
616,labour_force_participation_rate_std6,3.576553164605298,5.727477808232425
200,card_credit_roc7,3.538864558127675,7.884435908133334
1148,production_based_gdp_qq_std5,3.4745722255487186,6.70665367286124
1152,production_based_gdp_qq_std6,3.4705013128177655,6.203580636500525
620,labour_force_participation_rate_std7,3.4696935770944477,6.786991625840664
1204,production_based_gdp_yy_roc7,3.4553630094359815,6.195033719568523
560,employed_labour_force_std12,3.4480644008852512,10.074617352648001
495,employed_labour_force_diff1,3.2860390366686896,5.145862361916339
37,household_deposits_diff6,3.272935781594227,8.62106210638376
40,household_deposits_roc7,3.2318831157735826,6.837721274945559
949,cpi_qq_min12,3.1825217569502238,7.408056764475794
1145,production_based_gdp_qq_min4,3.0868833163858582,6.274221491423516
504,employed_labour_force_roc5,3.069228404670659,5.7069976487143785
210,card_credit_roc12,3.0580306148398524,9.941396346851038
